Variable,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
population,CAN,0.0377912,0.0396524,0.0414138,0.0430335,0.0445721,0.0460997,0.0476193,0.0491076,0.0505014,0.0517385,0.0528001,0.0536777,0.0543612,0.0548249,0.0549846,0.0547999,0.0544633,0.0541762,0.0539419,0.0537239,0.0535248,0.0533543,0.053212,0.0530954,0.0530034,0.0529364,0.0528992
population,USA,0.342454,0.35558,0.368237,0.380044,0.390884,0.400817,0.410337,0.419895,0.429334,0.438313,0.446375,0.453123,0.45852,0.462602,0.46532,0.46677,0.467715,0.468873,0.47011,0.471155,0.472026,0.472798,0.473463,0.474002,0.474421,0.474728,0.4749
population,MEX,0.124815,0.130375,0.135265,0.139384,0.142734,0.145326,0.147107,0.148066,0.148407,0.148364,0.148063,0.147569,0.146812,0.145729,0.144416,0.142995,0.141516,0.140024,0.138615,0.137375,0.136295,0.135354,0.134555,0.133905,0.133395,0.133023,0.132815
population,RCAM,0.0933415,0.0970866,0.100338,0.103056,0.105235,0.106873,0.107943,0.108442,0.108503,0.108265,0.107775,0.107058,0.106123,0.104989,0.103701,0.102311,0.10086,0.0993988,0.0980196,0.0968045,0.0957471,0.0948254,0.0940428,0.0934056,0.0929065,0.0925421,0.0923384
population,BRA,0.210843,0.217459,0.222925,0.227073,0.22995,0.231618,0.231978,0.230962,0.228773,0.225649,0.221686,0.216971,0.211683,0.206029,0.200218,0.194401,0.188504,0.182501,0.176791,0.171774,0.16742,0.163621,0.160392,0.157764,0.155707,0.154204,0.153364
population,RSAM,0.21934,0.228868,0.23732,0.244558,0.250544,0.255257,0.25866,0.260756,0.26172,0.261741,0.260878,0.259175,0.256725,0.253642,0.250061,0.246127,0.241993,0.237839,0.233926,0.230476,0.227472,0.224854,0.222631,0.220822,0.219404,0.218369,0.217791
population,NAF,0.193293,0.203702,0.213017,0.221224,0.228385,0.234522,0.239455,0.243015,0.245286,0.246404,0.246456,0.245556,0.243961,0.241914,0.239454,0.236608,0.233557,0.230513,0.227661,0.225141,0.222944,0.221029,0.219406,0.218083,0.217047,0.21629,0.215868
population,WAF,0.530424,0.592067,0.655758,0.720603,0.785934,0.850828,0.913114,0.970862,1.02437,1.07424,1.1201,1.16137,1.19784,1.2293,1.25521,1.27579,1.29447,1.3143,1.33373,1.35062,1.36513,1.37784,1.38869,1.3975,1.40439,1.40943,1.41224
population,EAF,0.329518,0.365987,0.402656,0.439,0.474635,0.509145,0.541852,0.572134,0.599867,0.625034,0.647538,0.667259,0.684048,0.697729,0.708046,0.715171,0.721074,0.727575,0.734102,0.739728,0.744524,0.748737,0.75234,0.755266,0.757551,0.759222,0.760157
population,SAF,0.0551186,0.0571576,0.0589288,0.0604016,0.0616135,0.0626119,0.063415,0.064026,0.0644178,0.0645558,0.0644038,0.0639466,0.063253,0.0623933,0.061358,0.0601408,0.0588272,0.0575195,0.0562965,0.0552154,0.0542718,0.0534502,0.0527534,0.0521858,0.0517411,0.0514164,0.0512349
population,WEU,0.426323,0.433244,0.439567,0.445431,0.450749,0.455378,0.459191,0.462076,0.463972,0.464888,0.465052,0.464685,0.463758,0.462117,0.45935,0.455219,0.450427,0.445773,0.441503,0.437703,0.434364,0.431464,0.42901,0.42701,0.425441,0.424295,0.423656
population,CEU,0.125962,0.125281,0.124271,0.122881,0.121259,0.119564,0.117796,0.115891,0.113691,0.111071,0.108123,0.105002,0.101873,0.0988759,0.0960457,0.0933623,0.0906971,0.0879631,0.0853485,0.0830558,0.0810696,0.0793354,0.0778604,0.0766604,0.075721,0.0750349,0.0746513
population,TUR,0.0846097,0.088357,0.0916667,0.094503,0.0968679,0.0987614,0.100138,0.100968,0.101337,0.101336,0.100976,0.100261,0.0992502,0.0980168,0.096636,0.0951745,0.0936616,0.0921329,0.0906871,0.0894143,0.0883075,0.0873424,0.0865228,0.0858556,0.085333,0.0849514,0.0847381
population,UKR,0.055403,0.0540496,0.0528561,0.0518116,0.0508842,0.0500414,0.0492663,0.0485387,0.0478064,0.0470191,0.0461655,0.0452476,0.0442806,0.0432815,0.0422617,0.0412276,0.0401718,0.0390997,0.0380819,0.0371871,0.03641,0.0357321,0.0351561,0.0346873,0.0343201,0.034052,0.0339022
population,STAN,0.0676045,0.0699377,0.0718189,0.0732722,0.0743557,0.0751082,0.0754569,0.0753469,0.0749068,0.0742797,0.0734814,0.0725052,0.0713823,0.0701595,0.0689093,0.0676885,0.0664658,0.0652153,0.0640222,0.0629751,0.0620673,0.0612749,0.0606012,0.0600529,0.0596238,0.0593103,0.059135
population,RUS,0.158455,0.157412,0.156218,0.155146,0.154249,0.153492,0.15274,0.151851,0.15079,0.149541,0.148084,0.146399,0.14449,0.142371,0.140072,0.137631,0.135095,0.132535,0.130117,0.127988,0.126135,0.124521,0.123149,0.122033,0.121158,0.12052,0.120163
population,ME,0.263065,0.285131,0.306303,0.326671,0.345899,0.36355,0.379227,0.392616,0.403721,0.412612,0.419324,0.423927,0.426673,0.427829,0.427549,0.426069,0.424079,0.422236,0.420609,0.419141,0.417834,0.416704,0.415752,0.414975,0.414364,0.413918,0.41367
population,INDIA,1.37661,1.44909,1.51596,1.57718,1.63228,1.68037,1.71946,1.74766,1.76458,1.77047,1.76653,1.75399,1.73335,1.70508,1.67051,1.63131,1.58968,1.54801,1.50886,1.47431,1.4442,1.41797,1.3957,1.37758,1.36337,1.353,1.34721
population,KOR,0.0746478,0.075075,0.0750756,0.0745735,0.073517,0.0718931,0.0698177,0.0674339,0.0648637,0.0622139,0.0595513,0.0569292,0.0543857,0.0519548,0.049669,0.0475299,0.0454194,0.0432491,0.0411698,0.0393477,0.0377702,0.0363924,0.0352204,0.0342669,0.0335206,0.0329755,0.0326707
population,CHN,1.41954,1.426,1.42195,1.40662,1.38087,1.34602,1.30349,1.25492,1.20248,1.1483,1.09369,1.03956,0.985984,0.933318,0.883916,0.839378,0.796333,0.751724,0.70875,0.671165,0.638684,0.610297,0.586135,0.566481,0.551101,0.539867,0.533585
population,SEAS,0.394819,0.411503,0.425866,0.437598,0.446609,0.452919,0.456769,0.458444,0.458171,0.456143,0.452485,0.447333,0.440946,0.433611,0.425624,0.41724,0.40858,0.399824,0.391537,0.384244,0.377903,0.372373,0.367677,0.363854,0.36086,0.358673,0.357451
population,INDO,0.260812,0.269872,0.27738,0.283254,0.287282,0.289295,0.289422,0.287862,0.284802,0.280445,0.275044,0.268855,0.262098,0.254973,0.247645,0.240228,0.232667,0.224985,0.21769,0.211277,0.205708,0.20085,0.196721,0.193361,0.19073,0.188809,0.187735
population,JAP,0.125855,0.123872,0.121416,0.118666,0.115712,0.112629,0.109516,0.106437,0.10327,0.0998998,0.0964176,0.0929349,0.0894307,0.0858793,0.0823682,0.0789679,0.0755669,0.0720871,0.0687656,0.0658511,0.0633245,0.061119,0.0592437,0.0577178,0.0565232,0.0556507,0.0551629
population,OCE,0.0341575,0.0363757,0.0384963,0.0405002,0.0424215,0.0442955,0.0461088,0.0478277,0.0493875,0.0507286,0.051843,0.0527344,0.0534001,0.0538232,0.0539367,0.0537147,0.0533452,0.0530228,0.0527537,0.0525055,0.0522805,0.0520872,0.0519255,0.0517932,0.0516889,0.051613,0.0515706
population,RSAS,0.494073,0.528905,0.561927,0.592322,0.620116,0.645342,0.667197,0.684907,0.698639,0.70882,0.715986,0.720624,0.722926,0.72299,0.720833,0.716671,0.711615,0.706779,0.702397,0.698479,0.695023,0.692025,0.689492,0.687426,0.685805,0.684622,0.683961
population,RSAF,0.17262,0.191656,0.211056,0.230495,0.249617,0.268058,0.285462,0.30155,0.316365,0.32998,0.342272,0.353126,0.362671,0.370973,0.377615,0.382396,0.386448,0.390869,0.39528,0.399091,0.402345,0.405202,0.407645,0.409628,0.411177,0.41231,0.412944
regional_emissions,CAN,0.511577,0.383162,0.256336,0.12848,0.0950918,0.0642863,0.040043,0.0241627,0.00985998,-0.00738934,-0.0265909,-0.044758,-0.059792,-0.0719423,-0.0837392,-0.09789,-0.112784,-0.124565,-0.130554,-0.128829,-0.118269,-0.0975598,-0.0645698,-0.0161425,0.0528065,0.152354,0.308183
regional_emissions,USA,5.39382,4.0402,2.69194,1.3534,0.0050238,-0.216033,-0.382241,-0.517496,-0.627745,-0.718476,-0.788037,-0.836394,-0.871753,-0.901203,-0.918448,-0.915416,-0.892829,-0.84927,-0.772757,-0.650843,-0.477984,-0.247396,0.053833,0.446064,0.963101,1.6725,2.74726
regional_emissions,MEX,0.572878,0.430246,0.304654,0.282772,0.257518,0.220399,0.178459,0.137132,0.0952148,0.0508771,0.00321838,-0.0460305,-0.0944341,-0.141371,-0.18818,-0.236933,-0.286001,-0.330454,-0.363482,-0.378952,-0.374665,-0.348554,-0.296365,-0.211846,-0.0854972,0.101652,0.398401
regional_emissions,RCAM,0.302334,0.227072,0.215567,0.203176,0.193679,0.18916,0.186014,0.179323,0.162737,0.133067,0.0916269,0.0410107,-0.0160112,-0.0776781,-0.142497,-0.208434,-0.273308,-0.334164,-0.383453,-0.413301,-0.421495,-0.406202,-0.36265,-0.283683,-0.158645,0.0337028,0.347821
regional_emissions,BRA,1.57743,1.18146,0.790417,0.396274,0.189764,0.0417681,-0.110151,-0.235854,-0.318717,-0.377394,-0.454189,-0.584915,-0.714491,-0.757226,-0.756201,-0.801305,-0.877444,-0.934648,-0.965476,-0.975459,-0.9613,-0.91649,-0.835432,-0.710061,-0.526245,-0.255873,0.173102
regional_emissions,RSAM,1.38348,1.03914,0.693376,0.347511,0.107034,-0.0470722,-0.232836,-0.405888,-0.544448,-0.696468,-0.879765,-1.07613,-1.25772,-1.39741,-1.51322,-1.63896,-1.76867,-1.88017,-1.95753,-1.98996,-1.97315,-1.90181,-1.76543,-1.54788,-1.22349,-0.740792,0.032924
regional_emissions,NAF,0.583268,0.558174,0.583604,0.593281,0.589582,0.577714,0.577227,0.601863,0.637677,0.668182,0.685613,0.688219,0.685922,0.687856,0.693975,0.702636,0.713425,0.726949,0.745484,0.771766,0.807712,0.855335,0.917476,0.998117,1.10355,1.24595,1.45553
