Variable,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140
population,CAN,0.037522,0.0390971,0.0405162,0.0417564,0.0428409,0.0437993,0.0446402,0.0453596,0.0459251,0.0462989,0.0464495,0.046353,0.0460082,0.0454091,0.0445081,0.0432911,0.0419202,0.0405756,0.0393324,0.0382289,0.0372621,0.0364214,0.0357094,0.0351291,0.0346742
population,USA,0.340295,0.351056,0.360828,0.36941,0.376567,0.382192,0.386724,0.390617,0.393859,0.396265,0.397432,0.396984,0.394858,0.391087,0.38577,0.379137,0.371863,0.364662,0.357956,0.352019,0.34683,0.342314,0.338485,0.335367,0.332923
population,MEX,0.123465,0.127708,0.130994,0.133298,0.134586,0.134844,0.134132,0.132561,0.130354,0.127726,0.124763,0.121507,0.117976,0.114189,0.110196,0.106046,0.10177,0.0974422,0.0933442,0.0897381,0.0866036,0.0838701,0.0815482,0.0796581,0.0781779
population,RCAM,0.0940714,0.0984539,0.102439,0.10595,0.109044,0.111785,0.114125,0.116026,0.117604,0.118994,0.120263,0.121454,0.122591,0.123693,0.124773,0.12585,0.126942,0.128053,0.12911,0.130038,0.130844,0.131548,0.132145,0.132632,0.133013
population,BRA,0.209219,0.214108,0.217417,0.219087,0.219154,0.217673,0.214697,0.210295,0.204621,0.197847,0.190134,0.181648,0.172587,0.163178,0.153727,0.144448,0.135115,0.125586,0.116503,0.10853,0.101614,0.0955778,0.0904467,0.0862711,0.083002
population,RSAM,0.218511,0.226916,0.233889,0.239365,0.243314,0.245726,0.246653,0.246182,0.244488,0.241748,0.238079,0.233586,0.228415,0.222721,0.216674,0.210417,0.203986,0.197471,0.191298,0.185867,0.181147,0.177031,0.173534,0.170688,0.168459
population,NAF,0.191103,0.199367,0.206104,0.211458,0.215437,0.218002,0.219044,0.218487,0.216443,0.213074,0.208539,0.203019,0.196799,0.190153,0.183234,0.176135,0.168858,0.161479,0.154482,0.148328,0.142981,0.138317,0.134355,0.13113,0.128605
population,WAF,0.542379,0.616159,0.69561,0.779608,0.867782,0.959557,1.05276,1.14514,1.2356,1.32353,1.40885,1.49159,1.57149,1.64802,1.71974,1.78616,1.85133,1.91849,1.98292,2.03936,2.08819,2.13086,2.16715,2.19668,2.21979
population,EAF,0.337812,0.382945,0.430445,0.479459,0.530513,0.584055,0.638833,0.693391,0.747148,0.799869,0.85183,0.903212,0.953327,1.0014,1.04723,1.09111,1.13489,1.17972,1.22254,1.26011,1.29267,1.32109,1.34526,1.36493,1.38033
population,SAF,0.0544497,0.0558343,0.0567863,0.0573016,0.0574049,0.0571376,0.0565781,0.0557926,0.0547605,0.053449,0.0518646,0.0500331,0.0480182,0.0458841,0.0436597,0.0413624,0.0389995,0.0366065,0.0343393,0.0323447,0.0306112,0.0290994,0.0278151,0.0267697,0.025951
