Variable,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
population,CAN,0.0379253,0.0399147,0.0418512,0.0436921,0.0454768,0.0472511,0.0490043,0.0507027,0.0522777,0.053659,0.0548065,0.05568,0.0562115,0.0563373,0.0560404,0.0553592,0.0545083,0.0537017,0.0529762,0.0523257,0.0517505,0.051252,0.0508312,0.0504879,0.0502184,0.0500218,0.049912
population,USA,0.343445,0.357286,0.370947,0.384114,0.396563,0.408191,0.419265,0.430069,0.440579,0.450651,0.459966,0.468119,0.474545,0.478662,0.479998,0.478517,0.475821,0.473521,0.471644,0.469898,0.468303,0.466937,0.465797,0.464863,0.464126,0.46359,0.463291
population,MEX,0.122884,0.1267,0.129585,0.131587,0.132672,0.132814,0.132075,0.130565,0.128476,0.126002,0.123255,0.120284,0.116981,0.113207,0.108861,0.103927,0.098664,0.0934029,0.0884667,0.0841087,0.0803089,0.076999,0.0741906,0.0719036,0.0701117,0.0688034,0.0680723
population,RCAM,0.0916322,0.0939969,0.0956811,0.0967441,0.0971799,0.0969791,0.0961872,0.0948766,0.0931751,0.0912009,0.0889795,0.0865142,0.0838116,0.0808694,0.077646,0.0741235,0.0704178,0.0666951,0.0631896,0.0600987,0.057407,0.0550613,0.0530701,0.0514488,0.0501788,0.0492515,0.0487332
population,BRA,0.208359,0.21285,0.215942,0.217672,0.218076,0.217184,0.214995,0.211527,0.206901,0.201265,0.194772,0.187557,0.179669,0.171122,0.161867,0.151901,0.141479,0.130987,0.121091,0.112371,0.104781,0.0981655,0.0925485,0.0879755,0.0843935,0.0817778,0.0803159
population,RSAM,0.216166,0.222891,0.228158,0.232077,0.234551,0.235483,0.23498,0.233202,0.23034,0.226563,0.221939,0.216495,0.210192,0.202967,0.19473,0.18549,0.175682,0.165861,0.156635,0.148492,0.141396,0.135214,0.129967,0.125695,0.122348,0.119904,0.118539
population,NAF,0.190568,0.198472,0.204943,0.210206,0.214244,0.216972,0.21829,0.218154,0.216762,0.21433,0.210892,0.206473,0.20121,0.195256,0.188687,0.181589,0.174163,0.166689,0.15964,0.153428,0.148021,0.143308,0.139307,0.136049,0.133498,0.131634,0.130593
population,WAF,0.517876,0.56846,0.618734,0.668147,0.715242,0.758539,0.797356,0.831354,0.860762,0.885807,0.906131,0.921385,0.931833,0.937714,0.938552,0.934389,0.92805,0.922386,0.917548,0.913126,0.909146,0.90572,0.902845,0.900494,0.898644,0.897295,0.896544
population,EAF,0.32051,0.349302,0.376817,0.402863,0.426808,0.448018,0.466285,0.48156,0.494004,0.503753,0.510648,0.514527,0.515518,0.513761,0.509154,0.501854,0.493316,0.485047,0.477478,0.470735,0.464808,0.45966,0.455305,0.451755,0.44897,0.446937,0.445802
population,SAF,0.0550301,0.0570527,0.0588111,0.0602581,0.0613932,0.0622197,0.0627099,0.0628333,0.0625801,0.061947,0.0609355,0.0595596,0.0578777,0.0559552,0.0538401,0.051578,0.0492222,0.046847,0.0446042,0.0426287,0.0409099,0.0394115,0.0381391,0.0371033,0.036292,0.0356995,0.0353684
population,WEU,0.428133,0.436408,0.444403,0.452255,0.459819,0.466871,0.47318,0.47848,0.482374,0.484523,0.484933,0.483642,0.480452,0.475183,0.46797,0.459146,0.449532,0.439993,0.431094,0.423221,0.416344,0.410357,0.405281,0.401146,0.397906,0.39554,0.394218
population,CEU,0.126065,0.125404,0.124479,0.123275,0.121872,0.120345,0.118644,0.116688,0.114391,0.111695,0.108642,0.105282,0.101599,0.0975902,0.0933953,0.0891476,0.0848222,0.0804256,0.0762491,0.0725781,0.0693906,0.0666098,0.0642467,0.0623235,0.0608175,0.0597177,0.0591029
population,TUR,0.0833543,0.0859969,0.0881001,0.0897429,0.0908531,0.091345,0.0912291,0.0905514,0.0894025,0.0878661,0.0859538,0.0836741,0.0810952,0.0782844,0.0752445,0.0719803,0.0685707,0.0651367,0.0618969,0.0590422,0.0565579,0.0543923,0.0525536,0.0510566,0.0498841,0.0490279,0.0485493
population,UKR,0.05523,0.0537094,0.0523362,0.0511135,0.0499573,0.0487786,0.0475554,0.0462804,0.0449366,0.0435034,0.0419567,0.0402823,0.0385099,0.0366791,0.0348241,0.0329661,0.0310793,0.0291596,0.0273345,0.0257308,0.0243387,0.023124,0.0220918,0.0212517,0.0205939,0.0201135,0.0198449
population,STAN,0.0666218,0.0681466,0.0691423,0.069704,0.0698414,0.0695442,0.068806,0.0676466,0.0661872,0.0645472,0.0627386,0.0607513,0.0585951,0.0562988,0.053949,0.0516181,0.0492645,0.0468648,0.04458,0.0425734,0.0408324,0.0393131,0.0380216,0.0369707,0.0361478,0.0355469,0.0352109
population,RUS,0.157576,0.155889,0.154027,0.152286,0.150491,0.148395,0.145931,0.143087,0.139907,0.136415,0.132508,0.128093,0.123257,0.118132,0.112848,0.107497,0.102042,0.0965001,0.0912369,0.0866103,0.0825926,0.0790877,0.0761095,0.0736855,0.0717873,0.0704012,0.0696263
population,ME,0.258396,0.276267,0.292508,0.307489,0.320745,0.3317,0.34016,0.346089,0.349688,0.351164,0.350505,0.34769,0.342865,0.336167,0.327505,0.31695,0.305436,0.294017,0.283367,0.273945,0.265712,0.258547,0.252471,0.247522,0.243643,0.240812,0.23923
population,INDIA,1.35003,1.40271,1.44687,1.48325,1.51106,1.5293,1.53758,1.5357,1.52355,1.5012,1.46919,1.42826,1.37927,1.32329,1.26189,1.1967,1.12903,1.06071,0.996158,0.93931,0.889865,0.846755,0.810144,0.780341,0.756998,0.739952,0.730424
population,KOR,0.0749683,0.0756649,0.076016,0.0759535,0.075443,0.0744733,0.0730952,0.0713796,0.0694156,0.0672675,0.0648803,0.0622163,0.0594259,0.0566638,0.0539155,0.0511302,0.0482812,0.04539,0.0426468,0.0402346,0.0381393,0.0363116,0.0347587,0.0334948,0.032505,0.0317822,0.0313781
population,CHN,1.41124,1.41086,1.40016,1.37947,1.34923,1.3101,1.26348,1.21096,1.15404,1.09421,1.0331,0.972035,0.910968,0.849691,0.788682,0.728216,0.667052,0.604731,0.545422,0.493326,0.448118,0.40867,0.37514,0.347853,0.326488,0.310885,0.302162
population,SEAS,0.389801,0.402086,0.411484,0.418094,0.42176,0.422362,0.420177,0.415588,0.408997,0.400747,0.390947,0.379646,0.366908,0.352821,0.337574,0.321398,0.304594,0.287637,0.271614,0.257503,0.245229,0.234529,0.225441,0.218043,0.212249,0.208018,0.205653
population,INDO,0.258325,0.265182,0.270176,0.273442,0.274883,0.274383,0.271987,0.267806,0.262062,0.255,0.246857,0.237857,0.228188,0.218028,0.207578,0.196987,0.186182,0.175207,0.164787,0.155626,0.14767,0.14073,0.134833,0.130033,0.126274,0.123529,0.121995
population,JAP,0.126531,0.125143,0.123394,0.121422,0.119282,0.117012,0.114664,0.112231,0.109467,0.106156,0.102447,0.0985332,0.0944312,0.0901513,0.0858662,0.0817196,0.0775786,0.0733392,0.0692909,0.0657393,0.0626608,0.0599734,0.0576882,0.0558288,0.0543732,0.05331,0.0527156
population,OCE,0.0341575,0.0363772,0.0385197,0.040574,0.0425587,0.0444908,0.0463527,0.0481083,0.0496813,0.0509979,0.0520341,0.0527697,0.053149,0.0531236,0.0527069,0.0519594,0.0510655,0.0502061,0.0494241,0.048726,0.048111,0.0475773,0.0471262,0.0467583,0.0464696,0.046259,0.0461413
population,RSAS,0.4836,0.509294,0.531587,0.550215,0.564953,0.575608,0.582084,0.584431,0.583186,0.578905,0.571733,0.561749,0.549187,0.53433,0.517485,0.499038,0.479657,0.460179,0.441829,0.425653,0.411567,0.399291,0.38887,0.380386,0.373739,0.368886,0.366173
population,RSAF,0.167683,0.182714,0.197268,0.211113,0.223798,0.234912,0.244431,0.252434,0.259035,0.264316,0.268196,0.270601,0.271634,0.271374,0.269643,0.266408,0.262482,0.258726,0.255321,0.252277,0.249592,0.247263,0.245295,0.243691,0.242431,0.241512,0.240999
regional_emissions,CAN,0.476468,0.357353,0.334241,0.33694,0.324473,0.280289,0.237425,0.228145,0.241753,0.258266,0.259083,0.231155,0.180227,0.121603,0.0920153,0.118846,0.172283,0.21751,0.254963,0.292109,0.328937,0.363925,0.39751,0.430632,0.464055,0.501117,0.547347
regional_emissions,USA,5.08772,3.81579,2.80598,2.57154,2.42508,2.29503,2.14662,1.96453,1.7832,1.64338,1.54504,1.48084,1.45618,1.46968,1.4807,1.45218,1.40426,1.36581,1.33934,1.32134,1.31193,1.31238,1.32347,1.34625,1.3826,1.4437,1.55067
regional_emissions,MEX,0.521189,0.429334,0.422099,0.426298,0.428204,0.416335,0.393027,0.364467,0.341058,0.327808,0.306973,0.26446,0.215305,0.176376,0.149739,0.132986,0.120066,0.106019,0.0923612,0.0813578,0.072661,0.065519,0.0599182,0.0560163,0.053782,0.0537673,0.0572912
regional_emissions,RCAM,0.272857,0.253521,0.263061,0.267957,0.267391,0.2646,0.26969,0.286787,0.295722,0.28006,0.249108,0.215372,0.185798,0.163282,0.142079,0.116798,0.0897884,0.0646514,0.0426651,0.0239788,0.00787868,-0.012359,-0.0362495,-0.0557216,-0.0709929,-0.0821393,-0.0883647
